,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-11-07,0.0013854963474122294,0.0006192340409524967,0.002004730388364726,0.011047517223561702,1
2019-11-08,0.0014422760011812217,-0.008722952564936624,-0.007280676563755402,-0.008742017780329996,-1
2019-11-11,0.001515783323239506,-0.004975560410516233,-0.0034597770872767273,0.005154467791995171,-1
2019-11-12,0.0016059520912111264,-0.006877475792665318,-0.005271523701454192,-0.008803379585953215,-1
2019-11-13,0.001416025602739686,0.001590294136899732,0.0030063197396394178,0.010451795878985483,1
2019-11-14,0.0009528338887740767,-0.010343759415632904,-0.009390925526858827,-0.01647950649431244,-1
2019-11-15,0.0011802169432126729,0.007114260820430048,0.008294477763642722,0.018752857860707215,1
2019-11-18,0.001034879968708615,-0.004671875429499281,-0.0036369954607906657,-0.0067799050122632045,-1
2019-11-19,0.0009480590403198478,0.001178854337635903,0.0021269133779557507,-0.008066608648027065,1
2019-11-20,0.0013998628191756876,0.0065489513198856006,0.007948814139061289,-0.008672549392961785,1
2019-11-21,0.001444978661454604,0.010792981712645939,0.012237960374100543,0.00721613213566771,1
2019-11-22,0.0014616457496380807,0.0067669631209681886,0.00822860887060627,0.0036153312377371636,1
2019-11-25,0.0014176531249498784,0.001232391339000077,0.0026500444639499555,0.018260100940013055,1
2019-11-26,0.0014523083686392465,-0.016335851616620028,-0.01488354324798078,-0.025221189621130513,-1
2019-11-27,0.0010061248255154541,0.0095459626713634,0.010552087496878854,0.02118213207159793,1
2019-11-29,0.0013408431302014711,-0.013573808983837416,-0.012232965853635945,-0.015548002779035125,-1
2019-12-02,0.001291441962259147,0.004541822382169715,0.0058332643444288625,-0.009424442604658252,1
2019-12-03,0.0011069490445600823,0.010985195699958882,0.012092144744518965,-0.006361233181312594,1
2019-12-04,0.0010609015087417683,0.018282220143706545,0.019343121652448312,0.02677838885052046,1
2019-12-05,0.0009784790587181115,-0.005918164862631892,-0.00493968580391378,0.0057769318079587285,-1
2019-12-06,0.001031924280475662,-0.014413566762621434,-0.013381642482145772,0.004567596864072487,-1
2019-12-09,0.0009830454586276624,-0.017206489572852736,-0.016223444114225074,-0.03323111632241728,-1
2019-12-10,0.001273676187868783,0.014680741669948255,0.015954417857817038,0.01992650200504619,1
2019-12-11,0.0011614848996131372,-0.005887919837567065,-0.004726434937953928,0.002665893143982117,-1
2019-12-12,0.0012204929912549949,-0.005217616772879907,-0.003997123781624912,-0.00594831949897529,-1
2019-12-13,0.00116495542001955,-0.0033382636428535024,-0.0021733082228339523,0.010956642502710612,-1
2019-12-16,0.00131971412509035,-0.011638804389679196,-0.010319090264588847,0.0034713349140164246,-1
2019-12-17,0.0016049195275069032,-0.014229429671747148,-0.012624510144240245,-0.015009502032601405,-1
2019-12-18,0.0014690992019728664,-0.0034255850598736573,-0.001956485857900791,-0.0043557420484175114,-1
2019-12-19,0.0014328182268077685,0.004878040456267766,0.006310858683075534,0.0033926577242033916,1
2019-12-20,0.0015062223536957083,-0.0026271992908014396,-0.0011209769371057312,-0.0030737747126801792,-1
2019-12-23,0.0015382256832865205,0.002628871544100135,0.004167097227386655,0.018259985857947608,1
2019-12-24,0.0012033914810411868,-0.012016341263110096,-0.010812949782068908,-0.015236397170124429,-1
2019-12-26,0.0012076456666709416,-0.0014568049853219513,-0.00024915931865100976,0.018695943347454856,-1
2019-12-27,0.0013175040679280132,-0.018278816772565848,-0.016961312704637833,-0.02002576294557857,-1
2019-12-30,0.0010530555330548867,0.003118626804404841,0.004171682337459728,0.006297246730033306,1
